reference_clause,target_clause,compliance,source_file
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","Any Disclosure by the Recipient or its Representatives of any of the Disclosing Party's Confidential Information pursuant to applicable federal, state or local law, regulation or a valid order issued by a court or governmental agency of competent jurisdiction (a ""Legal Order"") shall be subject to the terms of this Section.  Prior to making any such disclosure, the Recipient shall make commercially reasonable efforts to provide the Disclosing Party with: (a) prompt written notice of such requirement so that the Disclosing Party may seek a protective order or other remedy; and",compliant,Standard%20NDA%20by%20Axial.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,"Except as required by applicable federal, state or local law or regulation, the term ""Confidential Information"" as used in this Agreement shall not include information that: (b) at the time of disclosure is, or thereafter becomes, available to the Recipient on a non-confidential basis from a third-party source, provided that such third party is not and was not prohibited from disclosing such Confidential Information to the Recipient by any contractual obligation;",compliant,Standard%20NDA%20by%20Axial.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"Except as set forth in Section 2 below, ""Confidential Information"" means all non-public, confidential or proprietary information disclosed on or after the Effective Date, by the Disclosing Party to the Recipient or its affiliates, or to any of such Recipient's or its affiliates' employees, officers, directors, partners, shareholders, agents, attorneys, accountants, financing sources or advisors (collectively, ""Representatives""), however disclosed, including, without limitation: The Recipient shall protect and safeguard the confidentiality of all Confidential Information with at least the same degree of care as the Recipient would protect its own confidential information, but in no event with less than a commercially reasonable degree of care; not use the Confidential Information, or permit it to be accessed or used, for any purpose other than the Purpose, including without limitation, to reverse engineer, disassemble, decompile or design around confidential intellectual property; not disclose any such Confidential Information to any person or entity, except to the Recipient's Representatives who need to know the Confidential Information in relation to the Purpose and are informed of the obligations hereunder and agree to abide by the same.",compliant,Standard%20NDA%20by%20Axial.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"The Recipient shall protect and safeguard the confidentiality of all Confidential Information with at least the same degree of care as the Recipient would protect its own confidential information, but in no event with less than a commercially reasonable degree of care; not use the Confidential Information, or permit it to be accessed or used, for any purpose other than the Purpose, including without limitation, to reverse engineer, disassemble, decompile or design around confidential intellectual property; not disclose any such Confidential Information to any person or entity, except to the Recipient's Representatives who need to know the Confidential Information in relation to the Purpose and are informed of the obligations hereunder and agree to abide by the same.",compliant,Standard%20NDA%20by%20Axial.pdf
Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,"The Recipient shall keep the Discloser's Confidential Information confidential and, except with the prior written consent of the Discloser or as expressly permitted by this agreement, shall: 3.1.5 at the written request of the Discloser, or in any event on termination of this agreement, return or destroy all documents or other records containing Confidential Information to the Discloser and confirm to the Discloser that it has done so in writing.",compliant,Startup_Pack_nondisclosure_agreement.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"5.1 All Confidential Information shall remain the property of the party disclosing it, which reserves all rights in its Confidential Information.  No rights, including, but not limited to, any and all intellectual property rights, in respect of a party's Confidential Information are granted to the other party.",compliant,Startup_Pack_nondisclosure_agreement.pdf
Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,"""Confidential Information"" means all confidential information (however recorded, preserved or disclosed) disclosed or made available by the Discloser or any of its Representatives to the Recipient or any of its Representatives including but not limited to: (c) the fact that discussions and negotiations are taking place concerning the Purpose and the status of those discussions and negotiations; (d) the existence and terms of this agreement; and",compliant,Startup_Pack_nondisclosure_agreement.pdf
Confidential Information shall only include technical information.,"""Confidential Information"" means all confidential information (however recorded, preserved or disclosed) disclosed or made available by the Discloser or any of its Representatives to the Recipient or any of its Representatives including but not limited to: (i) the business, affairs, customers, clients, suppliers, plans, intentions, or market opportunities of the Discloser; or (ii) the operations, processes, products, techniques and specifications, test procedures and results, inventions, know-how, trade secrets, designs or software of the Discloser;",noncompliant,Startup_Pack_nondisclosure_agreement.pdf
All Confidential Information shall be expressly identified by the Disclosing Party.,"""Confidential Information"" means all confidential information (however recorded, preserved or disclosed) disclosed or made available by the Discloser or any of its Representatives to the Recipient or any of its Representatives including but not limited to: (a) any information that is marked, or at the time of disclosure is otherwise designated, as being confidential; (b) any information that would be regarded as confidential by a reasonable business person on or relating to: (i) the business, affairs, customers, clients, suppliers, plans, intentions, or market opportunities of the Discloser; or",noncompliant,Startup_Pack_nondisclosure_agreement.pdf
Some obligations of Agreement may survive termination of Agreement.,"If either party decides not to continue to be involved in the Purpose with the other party it shall notify the other party in writing and this agreement will terminate with immediate effect.  The obligations of each party shall continue for a period of [Insert number of years - this should be a realistic estimate of how long it is likely that the information that is to be disclosed will remain important to protect, e.g.  5] years from the termination of this agreement.  Termination of this agreement shall not affect any accrued rights or remedies to which either party is entitled.",compliant,Startup_Pack_nondisclosure_agreement.pdf
Confidential Information may include verbally conveyed information.,"""Confidential Information"" means all confidential information (however recorded, preserved or disclosed) disclosed or made available by the Discloser or any of its Representatives to the Recipient or any of its Representatives including but not limited to:",compliant,Startup_Pack_nondisclosure_agreement.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","""Representative"" means, in relation to a party, that party's employees, agents, accountants and lawyers. The Recipient may disclose all or part of the Discloser's Confidential Information to a Representative who needs to know that particular Confidential Information for the Purpose provided that, in relation to each Representative to whom the Discloser's Confidential Information is to be disclosed, the Recipient prior to disclosure:",compliant,Startup_Pack_nondisclosure_agreement.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,"The Recipient shall keep the Discloser's Confidential Information confidential and, except with the prior written consent of the Discloser or as expressly permitted by this agreement, shall: 3.1.3 not make any copies, reduce to writing or otherwise record the Confidential Information in whole or in part except as strictly necessary for the Purpose (and any such copies, reductions to writing and records shall be the property of the Discloser);",compliant,Startup_Pack_nondisclosure_agreement.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","The Recipient or its Representatives may disclose the Discloser's Confidential Information to the extent such Confidential Information is required to be disclosed by law, by any governmental or other regulatory authority, or by a court or other authority of competent jurisdiction provided that, to the extent it is legally permitted to do so, the Recipient or its Representatives give the Discloser as much notice of this disclosure as possible and, where notice of disclosure is not prohibited and is given in accordance with this clause 4.2, it takes into account the reasonable requests of the Discloser in relation to the content of this disclosure.",compliant,Startup_Pack_nondisclosure_agreement.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,The obligations in clause 3.1 shall not apply any information that: 3.2.1 is or becomes available to the Recipient or the public other than as a result of its disclosure by the Recipient or its Representatives in breach of this agreement or any other obligation of confidence owed by the Recipient or its Representatives to the Discloser;,compliant,Startup_Pack_nondisclosure_agreement.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"""Representative"" means, in relation to a party, that party's employees, agents, accountants and lawyers. The Recipient may disclose all or part of the Discloser's Confidential Information to a Representative who needs to know that particular Confidential Information for the Purpose provided that, in relation to each Representative to whom the Discloser's Confidential Information is to be disclosed, the Recipient prior to disclosure:",compliant,Startup_Pack_nondisclosure_agreement.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"The Recipient shall keep the Discloser's Confidential Information confidential and, except with the prior written consent of the Discloser or as expressly permitted by this agreement, shall: 3.1.1 not use the Confidential Information except for the Purpose;",compliant,Startup_Pack_nondisclosure_agreement.pdf
Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,"Upon request of Discloser or termination of this Agreement, Recipient shall return all Confidential Information, copies, extracts, or notes derived from Confidential Information to Discloser or certify, in writing, the destruction thereof.",compliant,SupplementOne-NDA.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"This Agreement does not transfer ownership of Confidential Information or grant a license thereto.  Discloser retains all right, title and interest in and to all Confidential Information and its reproductions.",compliant,SupplementOne-NDA.pdf
All Confidential Information shall be expressly identified by the Disclosing Party.,"i) “Confidential Information” refers to the following items Discloser discloses to the Recipient: (3) Any source code and any names of actual or potential Disclosers, whether or not marked as confidential; and Therefore, notwithstanding  (5)(c) above, the Recipient does have an obligation to maintain the confidentiality of such sensitive personal information, whether or not marked as confidential.",noncompliant,SupplementOne-NDA.pdf
Some obligations of Agreement may survive termination of Agreement.,"vi) The provisions of this Section  1)b) shall survive the termination of this Agreement. Upon request of Discloser or termination of this Agreement, Recipient shall return all Confidential Information, copies, extracts, or notes derived from Confidential Information to Discloser or certify, in writing, the destruction thereof.  The provisions of this Section  1)d) shall survive the termination of this Agreement.",compliant,SupplementOne-NDA.pdf
Receiving Party may independently develop information similar to Confidential Information.,"(5) Notwithstanding the foregoing, Confidential Information does not include information that: (b) Is independently developed by Recipient without use of, or reference to, Confidential Information;",compliant,SupplementOne-NDA.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"Upon request of Discloser or termination of this Agreement, Recipient shall return all Confidential Information, copies, extracts, or notes derived from Confidential Information to Discloser or certify, in writing, the destruction thereof.",noncompliant,SupplementOne-NDA.pdf
Confidential Information may include verbally conveyed information.,i) “Confidential Information” refers to the following items Discloser discloses to the Recipient: (2) Any oral or visual information Discloser designates as “Confidential” at the time of disclosure;,compliant,SupplementOne-NDA.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",ii) Recipient: (1) Shall not disclose Confidential Information to any employee or subcontractor of Recipient unless such person needs access in order to facilitate the evaluation and preparation of a response to RFP CSP903918 and executes a nondisclosure agreement with the Recipient with terms no less restrictive than those of this Section  2)b);,compliant,SupplementOne-NDA.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,ii) Recipient: (3) Shall not reproduce Confidential Information in any form except as required to facilitate the evaluation and preparation of a response to RFP CSP903918.,compliant,SupplementOne-NDA.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","Recipient shall give Discloser prompt notice of any such legal or governmental demand and reasonably cooperate with Discloser in any effort to seek a protective order or otherwise to contest such required disclosure, at Discloser’s expense.",compliant,SupplementOne-NDA.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,"(5) Notwithstanding the foregoing, Confidential Information does not include information that: (d) Is rightfully received by the Recipient from a third party without an obligation of confidence; or",compliant,SupplementOne-NDA.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,ii) Recipient: (1) Shall not disclose Confidential Information to any employee or subcontractor of Recipient unless such person needs access in order to facilitate the evaluation and preparation of a response to RFP CSP903918 and executes a nondisclosure agreement with the Recipient with terms no less restrictive than those of this Section  2)b);,compliant,SupplementOne-NDA.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"(6) Although some sensitive personal information, such as medical records, addresses, telephone numbers, and social security numbers may be publicly available through other sources, the Recipient shall not disclose or use such information in any manner except as expressly authorized in this Agreement.  i) Recipient shall not use the Confidential Information for any purpose except to evaluate and prepare a response to RFP CSP903918 for a Pharmacy Benefits Manager (PBM) for the Bureau of Workers’ Compensation Pharmacy Program, issued by DAS on behalf of Discloser, as contemplated by this Agreement.",compliant,SupplementOne-NDA.pdf
Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,Supplier shall not decompile or reverse engineer Company Products and any information resulting from any decompiling or reverse engineering shall be deemed to be Confidential Information of Company.,compliant,Supplier_Non-Disclosure_Agreement.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,C. All Confidential Information is acknowledged by Supplier to be the property or an otherwise protectible interest of Company or its licensors whether or not it constitutes a trade secret.,compliant,Supplier_Non-Disclosure_Agreement.pdf
Confidential Information shall only include technical information.,"A. “Confidential Information” means all trade secrets, proprietary information, know-how, and confidential information of Company including but not limited to:  (i) any and all technical, business or financial information or property, owned by or licensed to Company, or otherwise relating to Company and/or any of its subsidiaries, affiliates and related entities which is heretofore or hereinafter disclosed to Supplier, including but not limited to information regarding Company’s goods or services, processes, personnel, finances, business plans, studies, analyses, projections, research, market data, operations, apparatus, computer software, know-how, trade secrets, inventions, equipment, tools, molds, dies, fixtures, parts, prototypes, samples, drawings, test results, material and manufacturing specifications, suppliers, customers, employees, processes, licensing and any other ideas or information relating to Company’s business or Company Products, the Supplies or any business or activity in which Company is engaged, regardless of the form of disclosure, whether or not disclosed in a writing marked “Confidential” or in some similar manner or identified as confidential;",noncompliant,Supplier_Non-Disclosure_Agreement.pdf
All Confidential Information shall be expressly identified by the Disclosing Party.,"A. “Confidential Information” means all trade secrets, proprietary information, know-how, and confidential information of Company including but not limited to:  (i) any and all technical, business or financial information or property, owned by or licensed to Company, or otherwise relating to Company and/or any of its subsidiaries, affiliates and related entities which is heretofore or hereinafter disclosed to Supplier, including but not limited to information regarding Company’s goods or services, processes, personnel, finances, business plans, studies, analyses, projections, research, market data, operations, apparatus, computer software, know-how, trade secrets, inventions, equipment, tools, molds, dies, fixtures, parts, prototypes, samples, drawings, test results, material and manufacturing specifications, suppliers, customers, employees, processes, licensing and any other ideas or information relating to Company’s business or Company Products, the Supplies or any business or activity in which Company is engaged, regardless of the form of disclosure, whether or not disclosed in a writing marked “Confidential” or in some similar manner or identified as confidential;  (c) legally enters the public domain or is generally available to the public other than by an unauthorized act by Supplier or the party to which such information was originally disclosed; provided, however, Confidential Information which is composed of a combination, compilation or sequential arrangement of individual elements or features which individual elements are available to the general public or are or were known or become known to Supplier, shall be considered Confidential Information with respect to such combination, compilation or sequential arrangement.",noncompliant,Supplier_Non-Disclosure_Agreement.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"C. The Confidential Information, and all copies, summaries, notes, and computations related thereto, shall be delivered by Supplier to Company within 48 hours of demand.",noncompliant,Supplier_Non-Disclosure_Agreement.pdf
Confidential Information may include verbally conveyed information.,"A. “Confidential Information” means all trade secrets, proprietary information, know-how, and confidential information of Company including but not limited to:  (i) any and all technical, business or financial information or property, owned by or licensed to Company, or otherwise relating to Company and/or any of its subsidiaries, affiliates and related entities which is heretofore or hereinafter disclosed to Supplier, including but not limited to information regarding Company’s goods or services, processes, personnel, finances, business plans, studies, analyses, projections, research, market data, operations, apparatus, computer software, know-how, trade secrets, inventions, equipment, tools, molds, dies, fixtures, parts, prototypes, samples, drawings, test results, material and manufacturing specifications, suppliers, customers, employees, processes, licensing and any other ideas or information relating to Company’s business or Company Products, the Supplies or any business or activity in which Company is engaged, regardless of the form of disclosure, whether or not disclosed in a writing marked “Confidential” or in some similar manner or identified as confidential;",compliant,Supplier_Non-Disclosure_Agreement.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","Supplier shall not disclose Confidential Information to any third party, including Supplier’s related entities, without the prior written consent of Company and the written agreement of third parties binding them to the terms of this Agreement.",noncompliant,Supplier_Non-Disclosure_Agreement.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,"B. Supplier shall not duplicate or summarize the Confidential Information to any third party, without the prior written consent of Company.",noncompliant,Supplier_Non-Disclosure_Agreement.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,"B. Confidential Information shall not include any information which:  (b) after disclosure by Company, is lawfully obtained by Supplier from a third party who has the right to disclose such information to Supplier; or",compliant,Supplier_Non-Disclosure_Agreement.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"Supplier shall disclose Confidential Information only to those employees of Supplier who  (a) must have the specific Confidential Information either for the development, production, testing and provision of Supplies or to decide whether to develop or supply the Supplies to Company; and",compliant,Supplier_Non-Disclosure_Agreement.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,A. Supplier shall use Confidential Information only to assist Supplier in making proposals to provide Supplies to Company and in providing Supplies to Company under Company’s purchase orders or other written agreements.  Supplier shall not use or disclose Confidential Information except as required by the performance of its obligations to Company.,compliant,Supplier_Non-Disclosure_Agreement.pdf
Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,"The Recipient  (iii) agrees not to copy, alter, modify, disassemble, reverse engineer or decompile any of the materials unless permitted in writing by the Disclosing Party (any copies that are authorized to be made will be identified as belonging to the Disclosing Party and marked as “confidential”, “proprietary” or with similar legend).",compliant,Supplier_Non_Disclosure.pdf
Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,"Any materials or documents of the Disclosing Party that are furnished to the Recipient, and all copies thereof, at the earlier of the Disclosing Party’s request for return of the materials, or the termination of the business relationship between the Disclosing Party and the Recipient, at the Disclosing Party’s option, will either be (subject to the Disclosing Party’s reasonable instructions):  (i) promptly returned to the Disclosing Party and/or  (ii) destroyed by the Recipient, including materials stored on the Recipient’s computing environment, or electronic storage media, to the extent technically feasible (with the Recipient providing written certification of such destruction).",compliant,Supplier_Non_Disclosure.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"The Disclosing Party shall retain the sole ownership and right to possess its Confidential Information, and any derivatives thereof.  No license is granted to the Recipient under any patents, copyrights, mask work rights or other proprietary rights by the disclosure of any information hereunder, nor is any warranty made as to such information.",compliant,Supplier_Non_Disclosure.pdf
Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,"“Confidential Information” means any information, technical data, or know-how (including, but not limited to, information relating to research, products, software, services, development, inventions, processes, engineering, marketing, techniques, customers, pricing, internal procedures, business and marketing plans or strategies, finances, employees and business opportunities) disclosed by the Disclosing Party to the Recipient, either directly or indirectly, in any form whatsoever (including, but not limited to, in writing, in machine readable or other tangible form, orally or visually):  (v) discussions relating to such information whether these discussions occur prior to, concurrent with, or following disclosure of such information.",compliant,Supplier_Non_Disclosure.pdf
Confidential Information shall only include technical information.,"“Confidential Information” means any information, technical data, or know-how (including, but not limited to, information relating to research, products, software, services, development, inventions, processes, engineering, marketing, techniques, customers, pricing, internal procedures, business and marketing plans or strategies, finances, employees and business opportunities) disclosed by the Disclosing Party to the Recipient, either directly or indirectly, in any form whatsoever (including, but not limited to, in writing, in machine readable or other tangible form, orally or visually):  (i) that is a trade secret under applicable law;",compliant,Supplier_Non_Disclosure.pdf
All Confidential Information shall be expressly identified by the Disclosing Party.,"“Confidential Information” means any information, technical data, or know-how (including, but not limited to, information relating to research, products, software, services, development, inventions, processes, engineering, marketing, techniques, customers, pricing, internal procedures, business and marketing plans or strategies, finances, employees and business opportunities) disclosed by the Disclosing Party to the Recipient, either directly or indirectly, in any form whatsoever (including, but not limited to, in writing, in machine readable or other tangible form, orally or visually):  (ii) that has been marked as “confidential” or “proprietary” or similar legend;  (iii) whose confidential nature has been made known by the Disclosing Party, orally or in writing, to the Recipient;  (iv) that due to its character and nature, a reasonable person under like circumstances would treat as confidential; or  (iii) agrees not to copy, alter, modify, disassemble, reverse engineer or decompile any of the materials unless permitted in writing by the Disclosing Party (any copies that are authorized to be made will be identified as belonging to the Disclosing Party and marked as “confidential”, “proprietary” or with similar legend).",noncompliant,Supplier_Non_Disclosure.pdf
Some obligations of Agreement may survive termination of Agreement.,"The Recipient’s obligations under this Agreement with respect to Confidential Information it has received or obtained prior to such termination shall continue until as long as the Confidential Information remains a trade secret or for a period of five (5) years after the date of disclosure, whichever is later.",compliant,Supplier_Non_Disclosure.pdf
Receiving Party may independently develop information similar to Confidential Information.,"Confidential Information does not include, or shall cease to include, information or material that the Recipient can demonstrate by then-contemporaneous written records:  (v) is independently developed by the Recipient without reference to Confidential Information.",compliant,Supplier_Non_Disclosure.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"Any materials or documents of the Disclosing Party that are furnished to the Recipient, and all copies thereof, at the earlier of the Disclosing Party’s request for return of the materials, or the termination of the business relationship between the Disclosing Party and the Recipient, at the Disclosing Party’s option, will either be (subject to the Disclosing Party’s reasonable instructions):  (i) promptly returned to the Disclosing Party and/or  (ii) destroyed by the Recipient, including materials stored on the Recipient’s computing environment, or electronic storage media, to the extent technically feasible (with the Recipient providing written certification of such destruction).",noncompliant,Supplier_Non_Disclosure.pdf
Confidential Information may include verbally conveyed information.,"“Confidential Information” means any information, technical data, or know-how (including, but not limited to, information relating to research, products, software, services, development, inventions, processes, engineering, marketing, techniques, customers, pricing, internal procedures, business and marketing plans or strategies, finances, employees and business opportunities) disclosed by the Disclosing Party to the Recipient, either directly or indirectly, in any form whatsoever (including, but not limited to, in writing, in machine readable or other tangible form, orally or visually):",compliant,Supplier_Non_Disclosure.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","The Recipient agrees not to disclose the Confidential Information to any third parties or to any of its employees, directors, officers, agents, contractors, consultants, advisors, or other representatives (collectively “Representatives”), except those Representatives who have a need to know the Confidential Information for accomplishing the Authorized Purpose described herein.",compliant,Supplier_Non_Disclosure.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,"The Recipient  (iii) agrees not to copy, alter, modify, disassemble, reverse engineer or decompile any of the materials unless permitted in writing by the Disclosing Party (any copies that are authorized to be made will be identified as belonging to the Disclosing Party and marked as “confidential”, “proprietary” or with similar legend).",compliant,Supplier_Non_Disclosure.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","Notwithstanding the foregoing, the Recipient may disclose the Disclosing Party’s Confidential Information to the extent required by a valid order of a court of competent jurisdiction or other governmental body, or by applicable law; provided, however, that the Recipient will use all reasonable efforts to promptly notify the Disclosing Party of the obligation to make such disclosure in advance of the disclosure, unless otherwise prohibited by law or court order, so that the Disclosing Party will have a reasonable opportunity to object to such disclosure.",compliant,Supplier_Non_Disclosure.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,"Confidential Information does not include, or shall cease to include, information or material that the Recipient can demonstrate by then-contemporaneous written records:  (iv) is disclosed to the Recipient by a third party not in violation of any obligation of confidentiality; or",compliant,Supplier_Non_Disclosure.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"The Recipient agrees not to disclose the Confidential Information to any third parties or to any of its employees, directors, officers, agents, contractors, consultants, advisors, or other representatives (collectively “Representatives”), except those Representatives who have a need to know the Confidential Information for accomplishing the Authorized Purpose described herein.",compliant,Supplier_Non_Disclosure.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,The Recipient  (i) agrees not to use the Confidential Information for its own use or for any purposes except the Authorized Purpose expressly set forth above;  (ii) shall not use the Confidential Information for purposes of unfair or improper competition; and,compliant,Supplier_Non_Disclosure.pdf
Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,Confidential Information will be returned by the receiving party to the disclosing party or destroyed by the receiving party:  (a) if a business relationship is not entered into with the disclosing party on or before the date which is three months after the date both parties have signed the Agreement; or,compliant,T:\proc_notices\notices_020_k\notice_doc_18628_158011843.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"Accordingly, the disclosing party shall have the right to seek to obtain an injunction, through the arbitral process set forth herein, to prevent any further violations of this Agreement. any title, ownership, license or other right or interest with respect to the Confidential Information of the disclosing party.",compliant,T:\proc_notices\notices_020_k\notice_doc_18628_158011843.pdf
Confidential Information shall only include technical information.,"""Confidential Information"" means any operational, administrative business or technical information, in whatever form transmitted, whether or not stored in any medium, relating to the disclosing party's operations and/or business (and/or those of its suppliers and customers), including but not limited to equipment, software, designs, technology, technical documentation, product or service specifications or strategies, marketing plans, pricing information, financial information, information relating to existing, previous and potential suppliers, customers and contracts, inventions, applications, methodologies and other know-how, that is either proprietary to the disclosing party or the disclosing party's contractors or which either of the foregoing maintains as confidential and nonpublic.",noncompliant,T:\proc_notices\notices_020_k\notice_doc_18628_158011843.pdf
Some obligations of Agreement may survive termination of Agreement.,"This Agreement shall remain effective for a period (the ""Term"") beginning on the date signed by both Parties (the ""Commencement Date"") and ending five (5) years after the Commencement date.",noncompliant,T:\proc_notices\notices_020_k\notice_doc_18628_158011843.pdf
Receiving Party may independently develop information similar to Confidential Information.,This Agreement does not apply to or restrict the Parties from using or disclosing: (c) Confidential information that is independently developed by the receiving party;,compliant,T:\proc_notices\notices_020_k\notice_doc_18628_158011843.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"However, the counsel for each party may retain one (1) archival copy of all Confidential Information received under this Agreement for the sole purpose of reference in any subsequent legal disputes that may arise.",compliant,T:\proc_notices\notices_020_k\notice_doc_18628_158011843.pdf
Confidential Information may include verbally conveyed information.,"""Confidential Information"" means any operational, administrative business or technical information, in whatever form transmitted, whether or not stored in any medium, relating to the disclosing party's operations and/or business (and/or those of its suppliers and customers), including but not limited to equipment, software, designs, technology, technical documentation, product or service specifications or strategies, marketing plans, pricing information, financial information, information relating to existing, previous and potential suppliers, customers and contracts, inventions, applications, methodologies and other know-how, that is either proprietary to the disclosing party or the disclosing party's contractors or which either of the foregoing maintains as confidential and nonpublic.",compliant,T:\proc_notices\notices_020_k\notice_doc_18628_158011843.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","The receiving party will not disclose this Agreement or Confidential Information, e(cid:91)cept to the receiving party's officials, directors, officers, employees and contractors who have a need to know for the purpose of carrying out the purpose of the Agreement and who have been advised of the obligation of confidentiality and who are bound, either as a condition of employment, or in order to obtain Confidential Information, by terms and conditions similar to those contained herein and are obligated to keep it confidential.",compliant,T:\proc_notices\notices_020_k\notice_doc_18628_158011843.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,"The receiving party will not copy or reproduce the Confidential Information except as reasonably required for the purposes contemplated in this Agreement, and will ensure that any confidentiality or other proprietary rights notices on the Confidential Information are reproduced on all copies.",compliant,T:\proc_notices\notices_020_k\notice_doc_18628_158011843.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,"This Agreement does not apply to or restrict the Parties from using or disclosing: (d) Confidential information which is disclosed, without obligation of confidentiality, to the receiving party by a person or entity not party to this Agreement and who is entitled to disclose such information without breaching an obligation of confidentiality.",compliant,T:\proc_notices\notices_020_k\notice_doc_18628_158011843.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"The receiving party will not disclose this Agreement or Confidential Information, e(cid:91)cept to the receiving party's officials, directors, officers, employees and contractors who have a need to know for the purpose of carrying out the purpose of the Agreement and who have been advised of the obligation of confidentiality and who are bound, either as a condition of employment, or in order to obtain Confidential Information, by terms and conditions similar to those contained herein and are obligated to keep it confidential.",compliant,T:\proc_notices\notices_020_k\notice_doc_18628_158011843.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,The receiving party will use Confidential Information only in connection with a business relationship with the disclosing party.,compliant,T:\proc_notices\notices_020_k\notice_doc_18628_158011843.pdf
Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,"Neither party shall attempt to reverse engineer, analyze or disassemble, or cause to be reverse engineered, analyzed or disassembled any product, formulation, process technology, sample or other technology provided by the other party, either directly or indirectly.",compliant,TSE-TSE-OK-WHK-Mutual-NDA-Fill-in-Blanks-4-29-2019.pdf
Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,"In the event the business relationship between the parties is not established or is terminated for any reason, either voluntarily or involuntarily, the parties shall, if either party so requests in writing, promptly return to the other party, or destroy, all written data and documents, including originals, copies, translations and reproductions thereof, whether on paper or in electronic form, embodying all or part of the Confidential Information disclosed by the other party, as directed by the disclosing party.",compliant,TSE-TSE-OK-WHK-Mutual-NDA-Fill-in-Blanks-4-29-2019.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"Disclosing Confidential Information pursuant to the terms of this Agreement creates no ownership or license rights in the receiving party, and the disclosing party reserves all patent, trade secret and other proprietary rights it may have in such Confidential Information. Except for the limited right to use Confidential Information set forth herein, Confidential Information remains the property of the originating party.  The receiving party does not receive any right or license under any patents, copyrights, trade secrets, or the like of the originating party in or to the Confidential Information.",compliant,TSE-TSE-OK-WHK-Mutual-NDA-Fill-in-Blanks-4-29-2019.pdf
